itemId,itemName,type,status,destination
1,PC1,Computer,available,1
2,PC2,Computer,available,1
3,PC3,Computer,available,1
4,PC4,Computer,available,1
5,PC5,Computer,available,1
6,PC6,Computer,available,1
7,PC7,Computer,available,1
8,PC8,Computer,available,1
9,PC9,Computer,available,1
10,PC10,Computer,available,1
11,PC11,Computer,available,1
12,PC12,Computer,available,1
13,PC13,Computer,available,1
14,PC14,Computer,available,1
15,PC15,Computer,available,1
16,PC16,Computer,available,1
17,PC17,Computer,available,1
18,PC18,Computer,available,1
19,PC19,Computer,available,1
20,PC20,Computer,available,1
21,PC1,Computer,available,2
22,PC2,Computer,available,2
23,PC3,Computer,available,2
24,PC4,Computer,available,2
25,PC5,Computer,available,2
26,PC6,Computer,available,2
27,PC7,Computer,available,2
28,PC8,Computer,available,2
29,PC9,Computer,available,2
30,PC10,Computer,available,2
31,PC11,Computer,available,2
32,PC12,Computer,available,2
33,PC13,Computer,available,2
34,PC14,Computer,available,2
35,PC15,Computer,available,2
36,PC1,Computer,available,3
27,PC2,Computer,available,3
38,PC3,Computer,available,3
39,PC4,Computer,available,3
40,PC5,Computer,available,3
41,PC6,Computer,available,3
42,PC7,Computer,available,3
43,PC8,Computer,available,3
